row_idx	col_idx	log2ratio
7	9	3828
8	9	1407
9	9	2111
10	9	302
11	9	8
12	9	0
13	9	1300
14	9	1207
15	9	706
16	9	200
17	9	433
18	9	2205
19	9	1296
20	9	7492
21	9	7073
22	9	26731
23	9	2333
24	9	7738
25	9	0
26	9	660
27	9	452
28	9	1173
29	9	0
30	9	892
31	9	8783
32	9	1149
33	9	64366
34	9	1347
35	9	110
36	9	9285
37	9	360
38	9	9421
39	9	23783
40	9	2529
41	9	859
42	9	224
43	9	1400
44	9	7776
45	9	621
46	9	10620
47	9	3263
48	9	7665
49	9	1144
50	9	3900
51	9	138
1	10	620
2	10	0
3	10	3793
4	10	322
5	10	5107
6	10	1027
7	10	10181
8	10	1796
9	10	2053
10	10	394
11	10	0
12	10	0
13	10	1233
14	10	11545
15	10	7088
16	10	269
17	10	782
18	10	6842
19	10	468
20	10	1131
21	10	12246
22	10	20846
23	10	5743
24	10	690
25	10	0
26	10	7073
27	10	619
28	10	462
29	10	0
30	10	1891
31	10	45334
32	10	2451
33	10	27404
34	10	7652
35	10	55
36	10	24944
37	10	1065
38	10	400
39	10	38270
40	10	4714
41	10	1787
42	10	65
43	10	2974
44	10	14694
45	10	2099
46	10	1030
47	10	8739
48	10	1737
49	10	1995
50	10	2055
51	10	170
1	11	13841
2	11	0
3	11	699
4	11	6881
5	11	18527
6	11	9163
7	11	1816
8	11	608
9	11	742
10	11	9175
11	11	9272
12	11	0
13	11	2189
14	11	90081
15	11	17718
16	11	5571
17	11	10745
18	11	11021
19	11	1025
20	11	4300
21	11	2813
22	11	10044
23	11	76122
24	11	7057
25	11	0
26	11	19869
27	11	6185
28	11	2776
29	11	0
30	11	1658
31	11	29400
32	11	3231
33	11	70111
34	11	47589
35	11	5589
36	11	47471
37	11	2714
38	11	1306
39	11	132342
40	11	252
41	11	6853
42	11	1379
43	11	11391
44	11	6011
45	11	9682
46	11	5886
47	11	12557
48	11	1909
49	11	10881
50	11	72746
51	11	889
1	12	5143
2	12	0
3	12	702
4	12	2410
5	12	63748
6	12	5886
7	12	15904
8	12	252
9	12	3276
10	12	2895
11	12	3623
12	12	0
13	12	3619
14	12	7900
15	12	2036
16	12	5273
17	12	2889
18	12	2258
19	12	3667
20	12	2298
21	12	15295
22	12	23746
23	12	16923
24	12	18170
25	12	0
26	12	2902
27	12	10954
28	12	3641
29	12	0
30	12	661
31	12	4334
32	12	1656
33	12	44812
34	12	23355
35	12	5431
36	12	5099
37	12	4539
38	12	2379
39	12	18479
40	12	2925
41	12	1134
42	12	7572
43	12	3118
44	12	7380
45	12	5445
46	12	3688
47	12	10529
48	12	19868
49	12	1856
50	12	23975
51	12	3458
1	13	3280
2	13	0
3	13	1697
4	13	1414
5	13	26167
6	13	2625
7	13	6436
8	13	101
9	13	883
10	13	2192
11	13	2934
12	13	0
13	13	1767
14	13	6658
15	13	577
16	13	5399
17	13	8059
18	13	2798
19	13	1139
20	13	7116
21	13	4305
22	13	21541
23	13	15933
24	13	8382
25	13	0
26	13	593
27	13	2665
28	13	1705
29	13	0
30	13	731
31	13	12613
32	13	1155
33	13	28562
34	13	7523
35	13	961
36	13	1559
37	13	1409
38	13	7291
39	13	14712
40	13	3369
41	13	618
42	13	1631
43	13	2797
44	13	16060
45	13	7531
46	13	880
47	13	5550
48	13	16005
49	13	574
50	13	20007
51	13	990
1	14	8634
2	14	0
3	14	3015
4	14	5393
5	14	12624
6	14	7438
7	14	6366
8	14	3489
9	14	3730
10	14	9273
11	14	9350
12	14	0
13	14	511
14	14	49021
15	14	13292
16	14	4930
17	14	13494
18	14	17242
19	14	871
20	14	4752
21	14	7352
22	14	20807
23	14	61261
24	14	961
25	14	0
26	14	6676
27	14	876
28	14	441
29	14	331
30	14	991
31	14	44436
32	14	3938
33	14	104747
34	14	23632
35	14	1373
36	14	78820
37	14	2008
38	14	6507
39	14	100230
40	14	422
41	14	9457
42	14	377
43	14	8269
44	14	20305
45	14	1550
46	14	1339
47	14	29558
48	14	2116
49	14	11165
50	14	31184
51	14	944
1	15	3712
2	15	0
3	15	3884
4	15	4602
5	15	94525
6	15	5628
7	15	10537
8	15	253
9	15	1624
10	15	4081
11	15	5417
12	15	0
13	15	1890
14	15	10693
15	15	3333
16	15	6217
17	15	9423
18	15	2353
19	15	3150
20	15	4537
21	15	10695
22	15	24688
23	15	9343
24	15	15113
25	15	0
26	15	6842
27	15	3050
28	15	5311
29	15	1114
30	15	806
31	15	13842
32	15	1586
33	15	24865
34	15	20163
35	15	1599
36	15	8857
37	15	5781
38	15	5526
39	15	36915
40	15	4559
41	15	4381
42	15	844
43	15	3127
44	15	34717
45	15	14888
46	15	3677
47	15	5398
48	15	12276
49	15	5564
50	15	23870
51	15	1596
1	16	3798
2	16	0
3	16	1195
4	16	2998
5	16	28929
6	16	11266
7	16	9865
8	16	1593
9	16	2109
10	16	1683
11	16	4105
12	16	0
13	16	3256
14	16	25494
15	16	9073
16	16	5668
17	16	9840
18	16	10337
19	16	2731
20	16	2404
21	16	4112
22	16	32022
23	16	41360
24	16	10258
25	16	0
26	16	7267
27	16	5444
28	16	4979
29	16	601
30	16	977
31	16	39182
32	16	567
33	16	61243
34	16	6067
35	16	4362
36	16	18987
37	16	1677
38	16	8475
39	16	53185
40	16	2253
41	16	3025
42	16	2979
43	16	5796
44	16	16370
45	16	7644
46	16	7600
47	16	10684
48	16	15510
49	16	2330
50	16	38898
51	16	2691
1	17	7086
2	17	0
3	17	4495
4	17	3669
5	17	53667
6	17	6329
7	17	8775
8	17	396
9	17	2733
10	17	4594
11	17	5448
12	17	0
13	17	965
14	17	18513
15	17	5130
16	17	4635
17	17	9814
18	17	2277
19	17	2609
20	17	4896
21	17	13001
22	17	18168
23	17	25526
24	17	19464
25	17	0
26	17	5553
27	17	3381
28	17	2265
29	17	374
30	17	576
31	17	27387
32	17	1601
33	17	42287
34	17	23906
35	17	3441
36	17	38596
37	17	3409
38	17	2959
