YEAR	STATE	SUM	REGION
1931	IDAHO	118	West
1931	ILLINOIS	39738	Midwest
1931	INDIANA	17628	Midwest
1931	IOWA	851	Midwest
1931	KANSAS	1758	Midwest
1931	KENTUCKY	4801	South
1931	LOUISIANA	244	South
1931	MAINE	3505	Northeast
1931	MARYLAND	20959	South
1931	MASSACHUSETTS	16431	Northeast
1931	MICHIGAN	6403	Midwest
1931	MINNESOTA	3229	Midwest
1931	MISSISSIPPI	0	South
1931	MISSOURI	13723	Midwest
1931	MONTANA	1538	West
1931	NEBRSKA	345	Midwest
1931	NEVADA	0	West
1931	NEW HAMPSHIRE	1406	Northeast
1931	NEW JERSEY	20361	Northeast
1931	NEW MEXICO	1415	West
1931	NEW YORK	54376	Northeast
1931	NORTH CAROLINA	15299	South
1931	NORTH DAKOTA	966	Midwest
1931	OHIO	19500	Midwest
1931	OKLAHOMA	774	South
1931	OREGON	2343	West
1931	PENNSYLVANIA	79748	Northeast
1931	RHODE ISLAND	4529	Northeast
1931	SOUTH CAROLINA	3330	South
1931	SOUTH DAKOTA	1474	Midwest
1931	TENNESSEE	3581	South
1931	TEXAS	2336	South
1931	UTAH	153	West
1931	VERMONT	1143	Northeast
1931	VIRGINIA	0	South
1931	WASHINGTON	3121	West
1931	WEST VIRGINIA	5070	South
1931	WISCONSIN	15146	Midwest
1931	WYOMING	139	West
1932	ALABAMA	270	South
1932	ALASKA	0	West
1932	ARIZONA	86	West
1932	ARKANSAS	99	South
1932	CALIFORNIA	12618	West
1932	COLORADO	2376	West
1932	CONNECTICUT	5701	Northeast
1932	DELAWARE	39	South
1932	DISTRICT OF COLUMBIA	273	South
1932	FLORIDA	207	South
1932	GEORGIA	1009	South
1932	HAWAII	0	West
1932	IDAHO	40	West
1932	ILLINOIS	16113	Midwest
1932	INDIANA	2914	Midwest
1932	IOWA	158	Midwest
1932	KANSAS	6150	Midwest
1932	KENTUCKY	1953	South
1932	LOUISIANA	1453	South
1932	MAINE	8853	Northeast
1932	MARYLAND	1093	South
1932	MASSACHUSETTS	19727	Northeast
1932	MICHIGAN	42116	Midwest
1932	MINNESOTA	2516	Midwest
1932	MISSISSIPPI	0	South
1932	MISSOURI	1618	Midwest
1932	MONTANA	5443	West
1932	NEBRSKA	438	Midwest
1932	NEVADA	0	West
1932	NEW HAMPSHIRE	717	Northeast
1932	NEW JERSEY	15407	Northeast
1932	NEW MEXICO	1199	West
1932	NEW YORK	60464	Northeast
1932	NORTH CAROLINA	13653	South
1932	NORTH DAKOTA	2150	Midwest
1932	OHIO	36228	Midwest
1932	OKLAHOMA	1034	South
1932	OREGON	4998	West
1932	PENNSYLVANIA	45957	Northeast
1932	RHODE ISLAND	9970	Northeast
1932	SOUTH CAROLINA	3192	South
1932	SOUTH DAKOTA	667	Midwest
1932	TENNESSEE	1870	South
1932	TEXAS	4564	South
1932	UTAH	72	West
1932	VERMONT	4103	Northeast
1932	VIRGINIA	1309	South
1932	WASHINGTON	10009	West
1932	WEST VIRGINIA	10476	South
1932	WISCONSIN	28255	Midwest
1932	WYOMING	557	West
1933	ALABAMA	1735	South
1933	ALASKA	0	West
1933	ARIZONA	1261	West
1933	ARKANSAS	5438	South
1933	CALIFORNIA	26551	West
1933	COLORADO	297	West
1933	CONNECTICUT	5430	Northeast
1933	DELAWARE	205	South
1933	DISTRICT OF COLUMBIA	533	South
1933	FLORIDA	993	South
1933	GEORGIA	4628	South
1933	HAWAII	0	West
1933	IDAHO	898	West
1933	ILLINOIS	12092	Midwest
1933	INDIANA	3570	Midwest
1933	IOWA	824	Midwest
1933	KANSAS	6289	Midwest
1933	KENTUCKY	1560	South
1933	LOUISIANA	931	South
1933	MAINE	110	Northeast
1933	MARYLAND	697	South
1933	MASSACHUSETTS	15067	Northeast
1933	MICHIGAN	22089	Midwest
1933	MINNESOTA	20110	Midwest
1933	MISSISSIPPI	0	South
1933	MISSOURI	5771	Midwest
1933	MONTANA	2270	West
1933	NEBRSKA	1625	Midwest
1933	NEVADA	0	West
1933	NEW HAMPSHIRE	1042	Northeast
1933	NEW JERSEY	29855	Northeast
1933	NEW MEXICO	668	West
1933	NEW YORK	72057	Northeast
1933	NORTH CAROLINA	16197	South
1933	NORTH DAKOTA	2518	Midwest
1933	OHIO	15751	Midwest
